DATE,CAPEX,FREE_CASH_FLOW
2018-06-01,942,3290
2018-03-01,1003,1363
2017-12-01,893,3732
2017-09-01,966,4777
2017-06-01,780,2722
2017-03-01,748,2781
2016-12-01,819,3215
2016-09-01,925,3006
2016-06-01,852,3349
2016-03-01,978,2588
2015-12-01,971,4574
2015-09-01,1018,4617
2015-06-01,933,3288
2015-03-01,907,3018
2014-12-01,923,2753
2014-09-01,975,5112
2014-06-01,1008,2867
2014-03-01,909,2673
2013-12-01,887,2477
2013-09-01,1059,5462
2013-06-01,1041,2776
2013-03-01,938,2314
2012-12-01,730,3309
2012-09-01,982,5346
2012-06-01,1045,3566
2012-03-01,1278,3238
2011-12-01,1002,3354
2011-09-01,1058,6049
2011-06-01,991,3680
2011-03-01,952,3220
2010-12-01,1058,2790
2010-09-01,1103,5058
2010-06-01,1008,3689
2010-03-01,969,2938
2009-12-01,904,3677
2009-09-01,1150,5122
2009-06-01,974,4381
2009-03-01,863,4036
2008-12-01,760,3787
2008-09-01,870,5401
2008-06-01,952,2787
2008-03-01,981,3268
2007-12-01,1018,3185
2007-09-01,0,0
2007-06-01,1067,3417
2007-03-01,886,2556
2006-12-01,917,2100
2006-09-01,1156,3744
2006-06-01,1068,2938
2006-03-01,926,1638
2005-12-01,782,2324
2005-09-01,280,3987
2005-06-01,832,3456
2005-03-01,874,2259
2004-12-01,749,1331
2004-09-01,810,1898
2004-06-01,841,3030
2004-03-01,635,3178
2003-12-01,771,2792
2003-09-01,911,2804
2003-06-01,770,3074
2003-03-01,1015,2641
2002-12-01,658,1495
2002-09-01,1191,3059
2002-06-01,790,2681
2002-03-01,950,1751
2001-12-01,1047,1544
2001-09-01,889,2692
2001-06-01,1057,2907
2001-03-01,1029,2308
2000-12-01,1276,659
2000-09-01,1496,1611
2000-06-01,930,1133
2000-03-01,859,631
1999-12-01,712,283
1999-09-01,1379,765
1999-06-01,1218,2022
1999-03-01,1198,446
1998-12-01,957,919
1998-09-01,1640,187
1998-06-01,1572,1629
1998-03-01,1325,1074
1997-12-01,1078,-137
1997-09-01,1788,856
1997-06-01,1331,826
1997-03-01,1491,1094
1996-12-01,1053,-704
1996-09-01,2987,1315
1996-06-01,1172,2058
1996-03-01,1124,458
1995-12-01,600,561
1995-09-01,2858,985
1995-06-01,684,1539
1995-03-01,635,1542
1994-12-01,567,1898
1994-09-01,2031,1396
1994-06-01,300,3620
1994-03-01,244,2123
1993-12-01,503,1576
1993-09-01,0,0
1993-06-01,0,0
1993-03-01,0,0
1992-12-01,0,0
1992-09-01,0,0
1992-06-01,0,0
1992-03-01,0,0
1991-12-01,0,0
1991-09-01,0,0
1991-06-01,0,0
1991-03-01,0,0
1990-12-01,0,0
1990-09-01,0,0
1990-06-01,0,0
1990-03-01,0,0
1989-12-01,0,0
