DATE,CHNG_WC,CASH_INVESTMENTS,DEBT,NON_CON_INT,PREF_SEC
2018-06-01,-835.5069999999996,3067.534,8336.586,0,0.0
2018-03-01,1455.259,3906.357,8342.067,0,0.0
2017-12-01,-391.6730000000007,2593.666,6542.373,0,0.0
2017-09-01,1128.991,2822.795,6499.432,0,0.0
2017-06-01,-503.16899999999987,1746.469,4888.783,0,0.0
2017-03-01,828.7390000000005,2164.902,4836.502,0,0.0
2016-12-01,-384.53300000000036,1341.229,3365.431,0,0.0
2016-09-01,351.14599999999973,1733.782,3364.311,0,0.0
2016-06-01,-552.5929999999994,1343.256,2373.966,0,0.0
2016-03-01,-275.1230000000005,1834.228,2373.085,0,0.0
2015-12-01,-292.01200000000017,2072.471,2372.218,0,0.0
2015-09-01,-326.07899999999927,2310.715,2371.362,0,0.0
2015-06-01,-152.14600000000064,2609.642,2400.0,0,0.0
2015-03-01,-149.76599999999917,2796.758,2400.0,0,0.0
2014-12-01,1266.3079999999995,2957.708,2400.0,0,0.0
2014-09-01,-10.927999999999884,1608.496,885.849,0,0.0
2014-06-01,-58.42900000000054,1666.819,900.0,0,0.0
2014-03-01,10.125,1714.365,900.0,0,0.0
2013-12-01,418.57100000000037,1668.243,900.0,0,0.0
2013-09-01,-9.58199999999988,1200.405,500.0,0,0.0
2013-06-01,14.083999999999605,1134.987,500.0,0,0.0
2013-03-01,31.672000000000253,1080.11,500.0,0,0.0
2012-12-01,303.52099999999973,1025.872,500.0,0,0.0
2012-09-01,-61.929999999999836,748.078,200.0,0,0.0
2012-06-01,-12.14599999999973,798.355,200.0,0,0.0
2012-03-01,26.865999999999758,813.343,200.0,0,0.0
2011-12-01,6.273000000000138,804.526,200.0,0,0.0
2011-09-01,383.65499999999986,797.811,200.0,0,0.0
2011-06-01,-20.587999999999965,365.772,234.659,0,0.0
2011-03-01,11.451000000000022,376.407,235.185,0,0.0
2010-12-01,-17.367999999999995,342.721,235.70499999999998,0,0.0
2010-09-01,68.512,350.387,200.0,0,0.0
2010-06-01,-2.911000000000058,256.813,236.68599999999998,0,0.0
2010-03-01,46.960000000000036,279.085,237.156,0,0.0
2009-12-01,-47.48599999999996,266.33,237.621,0,0.0
2009-09-01,152.13699999999997,320.242,237.982,0,0.0
2009-06-01,-99.93800000000002,155.462,38.282,0,0.0
2009-03-01,-6.788999999999987,254.969,38.576,0,0.0
2008-12-01,-4.741000000000014,286.489,38.871,0,0.0
2008-09-01,49.422000000000025,297.271,39.14,0,0.0
2008-06-01,-60.291,250.828,39.377,0,0.0
2008-03-01,54.57900000000001,313.464,39.611000000000004,0,0.0
2007-12-01,-124.32000000000002,295.495,0.0,0,0.0
2007-09-01,-6.967999999999989,385.142,36.475,0,0.0
2007-06-01,-13.051000000000016,386.181,0.0,0,0.0
2007-03-01,8.984999999999985,377.952,0.0,0,0.0
2006-12-01,-0.4189999999999827,387.983,0.0,0,0.0
2006-09-01,2.359000000000009,400.43,0.0,0,0.0
2006-06-01,7.849000000000018,368.741,0.0,0,0.0
2006-03-01,123.67599999999999,341.702,0.0,0,0.0
2005-12-01,-5.017000000000024,227.765,0.0,0,0.0
2005-09-01,12.941000000000003,212.256,0.0,0,0.0
2005-06-01,14.168000000000006,181.886,0.0,0,0.0
2005-03-01,5.734999999999999,170.972,0.0,0,0.0
2004-12-01,-19.176000000000002,165.822,0.0,0,0.0
2004-09-01,6.197000000000017,174.461,0.068,0,0.0
2004-06-01,9.804999999999993,167.814,0.164,0,0.0
2004-03-01,4.975999999999999,153.444,0.253,0,0.0
2003-12-01,-4.468999999999994,146.202,0.36,0,0.0
2003-09-01,1.8799999999999955,135.191,0.45999999999999996,0,0.0
2003-06-01,5.994001999999995,124.407,0.556,0,0.0
2003-03-01,-1.2310020000000037,116.324997,1.091,0,0.0
2002-12-01,-7.336999999999989,110.332,1.3159999999999998,0,0.0
2002-09-01,10.262999999999991,103.61,1.691,0,0.0
2002-06-01,1.4930020000000042,97.538,1.876,0,0.0
2002-03-01,74.41199900000001,91.799,2.675,0,0.0
2001-12-01,-9.547001000000002,15.671,6.5920000000000005,0,101.835999
2001-09-01,,0.0,0.0,0,0.0
