observation_date,TB3MS,DGS10
2018-09-01,2.04,2.9238095238095236
2018-06-01,1.84,2.920625
2018-03-01,1.56,2.7585245901639346
2017-12-01,1.2066666666666668,2.371451612903226
2017-09-01,1.0366666666666666,2.2414285714285715
2017-06-01,0.89,2.260952380952381
2017-03-01,0.59,2.4466129032258066
2016-12-01,0.43,2.138688524590164
2016-09-01,0.2966666666666667,1.564375
2016-06-01,0.25666666666666665,1.75015625
2016-03-01,0.2866666666666667,1.9142622950819672
2015-12-01,0.12333333333333334,2.190483870967742
2015-09-01,0.04,2.223125
2015-06-01,0.02,2.164375
2015-03-01,0.02666666666666667,1.9688524590163934
2014-12-01,0.023333333333333334,2.275967741935484
2014-09-01,0.02666666666666667,2.49953125
2014-06-01,0.03333333333333333,2.620952380952381
2014-03-01,0.04666666666666667,2.7654098360655737
2013-12-01,0.06333333333333334,2.7441935483870967
2013-09-01,0.03333333333333333,2.7065625
2013-06-01,0.05,1.98625
2013-03-01,0.08666666666666667,1.951
2012-12-01,0.08666666666666667,1.707049180327869
2012-09-01,0.10333333333333333,1.6412698412698412
2012-06-01,0.08666666666666667,1.82578125
2012-03-01,0.06666666666666667,2.04
2011-12-01,0.013333333333333334,2.0467213114754097
2011-09-01,0.023333333333333334,2.41421875
2011-06-01,0.04666666666666667,3.2014285714285715
2011-03-01,0.12666666666666668,3.4574193548387098
2010-12-01,0.13666666666666666,2.8783870967741936
2010-09-01,0.15666666666666668,2.78453125
2010-06-01,0.14666666666666667,3.4925
2010-03-01,0.10666666666666667,3.7178688524590164
2009-12-01,0.056666666666666664,3.464032258064516
2009-09-01,0.15666666666666668,3.5178125
2009-06-01,0.17333333333333334,3.3207936507936506
2009-03-01,0.21333333333333335,2.7362295081967214
2008-12-01,0.2966666666666667,3.234677419354839
2008-09-01,1.4933333333333334,3.8621875
2008-06-01,1.6266666666666667,3.8815625
2008-03-01,2.0433333333333334,3.665245901639344
2007-12-01,3.39,4.266612903225806
2007-09-01,4.303333333333334,4.738412698412699
2007-06-01,4.736666666666666,4.84609375
2007-03-01,4.983333333333333,4.679032258064516
2006-12-01,4.903333333333333,4.630645161290323
2006-09-01,4.906666666666666,4.893492063492063
2006-06-01,4.703333333333333,5.072698412698412
2006-03-01,4.3933333333333335,4.577096774193548
2005-12-01,3.8266666666666667,4.488196721311476
2005-09-01,3.36,4.21515625
2005-06-01,2.8633333333333333,4.15859375
2005-03-01,2.5366666666666666,4.303606557377049
2004-12-01,2.006666666666667,4.175806451612903
2004-09-01,1.4866666666666668,4.30140625
2004-06-01,1.0766666666666667,4.597096774193548
2004-03-01,0.9166666666666666,4.01
2003-12-01,0.9166666666666666,4.285161290322581
2003-09-01,0.93,4.22765625
2003-06-01,1.04,3.6206349206349207
2003-03-01,1.1566666666666667,3.92
2002-12-01,1.3333333333333333,4.004838709677419
2002-09-01,1.6433333333333333,4.27234375
2002-06-01,1.7133333333333334,5.10609375
2002-03-01,1.72,5.079166666666667
2001-12-01,1.9066666666666667,4.762096774193548
2001-09-01,3.17,4.9957377049180325
2001-06-01,3.66,5.276190476190476
2001-03-01,4.816666666666666,5.0441935483870965
2000-12-01,6.016666666666667,5.570645161290322
2000-09-01,6.016666666666667,5.88984126984127
2000-06-01,5.713333333333333,6.184920634920635
2000-03-01,5.52,6.468412698412698
1999-12-01,5.043333333333333,6.144838709677419
1999-09-01,4.65,5.88296875
1999-06-01,4.453333333333333,5.54125
1999-03-01,4.406666666666666,5.000819672131147
1998-12-01,4.253333333333333,4.661935483870968
1998-09-01,4.823333333333333,5.20734375
1998-06-01,4.976666666666667,5.593015873015873
1998-03-01,5.053333333333334,5.590983606557377
1997-12-01,5.09,5.906290322580645
1997-09-01,5.046666666666667,6.2421875
1997-06-01,5.046666666666667,6.6996875
1997-03-01,5.06,6.567
1996-12-01,4.976666666666667,6.354193548387097
1996-09-01,5.096666666666667,6.7759375
1996-06-01,5.02,6.7140625
1996-03-01,4.93,5.910483870967742
1995-12-01,5.26,5.898548387096774
1995-09-01,5.366666666666667,6.329206349206349
1995-06-01,5.596666666666667,6.60015873015873
1995-03-01,5.736666666666666,7.4712903225806455
1994-12-01,5.28,7.837213114754098
1994-09-01,4.476666666666667,7.32796875
1994-06-01,3.986666666666667,7.089516129032258
1994-03-01,3.243333333333333,6.090322580645162
1993-12-01,3.06,5.615967741935484
1993-09-01,3.0033333333333334,5.6153125
1993-06-01,2.966666666666667,5.988095238095238
1993-03-01,2.96,6.258196721311475
1992-12-01,3.07,6.740322580645161
1992-09-01,3.0833333333333335,6.61875
1992-06-01,3.68,7.376031746031746
1992-03-01,3.893333333333333,7.3069354838709675
1991-12-01,4.54,7.345
1991-09-01,5.376666666666667,7.95
1991-06-01,5.56,8.12546875
1991-03-01,6.023333333333333,8.023166666666667
1990-12-01,6.99,8.405967741935484
1990-09-01,7.476666666666667,8.701269841269841
1990-06-01,7.746666666666667,8.674126984126984
1990-03-01,7.76,8.423870967741935
